draw,chain,district,total_pop,plan_dev,comp_edge,comp_polsby,nv_ldp,nv_komei,nv_ruling,nv_cdp,nv_opp_coalition_4,nv_opp_coalition_5,nv_opp_all,ldp_share,komei_share,ruling_share,ldp_v_komei,ldp_v_cdp,ruling_v_cdp,ruling_v_opp_coalition_4,ruling_v_opp_coalition_5,ruling_v_opp_all,seats_ldp_v_cdp,seats_ruling_v_cdp,seats_ruling_v_opp_coalition_4,seats_ruling_v_opp_coalition_5,seats_ruling_v_opp_all,egap_ldp_v_cdp,egap_ruling_v_cdp,egap_ruling_v_opp_coalition_4,egap_ruling_v_opp_coalition_5,egap_ruling_v_opp_all,pbias_ldp_v_cdp,pbias_ruling_v_cdp,pbias_ruling_v_opp_coalition_4,pbias_ruling_v_opp_coalition_5,pbias_ruling_v_opp_all,max_to_min,gun_split,num_mun_split,mun_split,multi,koiki_split,valid
180,1, 1,394222,0.1900,0.9242,0.19341,49830,21423, 71253,23454,51399,61600, 78529,0.3133,0.13471,0.4480,0.6993,0.6800,0.7524,0.5809,0.5363,0.4757,17,17,17,14,3,-0.203,-0.05128,-0.3546,-0.2762,0.2751,-0.08824,-0.14706,-0.20588,-0.14706,-0.08824,1.407,1,5,5,0,0,TRUE
180,1, 2,441703,0.1900,0.9242,0.24765,77920,33466,111386,40666,81821,94500,116283,0.3256,0.13986,0.4655,0.6996,0.6571,0.7326,0.5765,0.5410,0.4892,17,17,17,14,3,-0.203,-0.05128,-0.3546,-0.2762,0.2751,-0.08824,-0.14706,-0.20588,-0.14706,-0.08824,1.407,1,5,5,0,0,TRUE
180,1, 3,442640,0.1900,0.9242,0.18784,62055,29008, 91063,33336,66813,78857, 98706,0.3106,0.14519,0.4558,0.6814,0.6505,0.7320,0.5768,0.5359,0.4799,17,17,17,14,3,-0.203,-0.05128,-0.3546,-0.2762,0.2751,-0.08824,-0.14706,-0.20588,-0.14706,-0.08824,1.407,1,5,5,0,0,TRUE
180,1, 4,421209,0.1900,0.9242,0.22649,63938,26581, 90519,34668,72039,83217,103791,0.3120,0.12971,0.4417,0.7064,0.6484,0.7231,0.5568,0.5210,0.4658,17,17,17,14,3,-0.203,-0.05128,-0.3546,-0.2762,0.2751,-0.08824,-0.14706,-0.20588,-0.14706,-0.08824,1.407,1,5,5,0,0,TRUE
180,1, 5,328087,0.1900,0.9242,0.16269,42690,17889, 60579,20669,44678,52498, 66593,0.3170,0.13284,0.4498,0.7049,0.6740,0.7458,0.5756,0.5358,0.4764,17,17,17,14,3,-0.203,-0.05128,-0.3546,-0.2762,0.2751,-0.08824,-0.14706,-0.20588,-0.14706,-0.08824,1.407,1,5,5,0,0,TRUE
180,1, 6,319500,0.1900,0.9242,0.26782,34546,17762, 52308,14358,32508,39059, 50772,0.3155,0.16221,0.4777,0.6604,0.7064,0.7846,0.6167,0.5725,0.5075,17,17,17,14,3,-0.203,-0.05128,-0.3546,-0.2762,0.2751,-0.08824,-0.14706,-0.20588,-0.14706,-0.08824,1.407,1,5,5,0,0,TRUE
180,1, 7,403098,0.1900,0.9242,0.13575,70599,34308,104907,34395,68512,79359, 99816,0.3281,0.15943,0.4875,0.6732,0.6726,0.7533,0.6050,0.5694,0.5125,17,17,17,14,3,-0.203,-0.05128,-0.3546,-0.2762,0.2751,-0.08824,-0.14706,-0.20588,-0.14706,-0.08824,1.407,1,5,5,0,0,TRUE
180,1, 8,382460,0.1900,0.9242,0.22243,70436,25900, 96336,32103,63118,74600, 91666,0.3565,0.13109,0.4876,0.7314,0.6871,0.7503,0.6042,0.5636,0.5124,17,17,17,14,3,-0.203,-0.05128,-0.3546,-0.2762,0.2751,-0.08824,-0.14706,-0.20588,-0.14706,-0.08824,1.407,1,5,5,0,0,TRUE
180,1, 9,444834,0.1900,0.9242,0.08855,74450,30957,105407,43137,77742,92654,113581,0.3238,0.13466,0.4585,0.7066,0.6333,0.7098,0.5756,0.5322,0.4813,17,17,17,14,3,-0.203,-0.05128,-0.3546,-0.2762,0.2751,-0.08824,-0.14706,-0.20588,-0.14706,-0.08824,1.407,1,5,5,0,0,TRUE
180,1,10,388742,0.1900,0.9242,0.16397,48349,22128, 70477,32589,59811,69243, 84573,0.2957,0.13532,0.4310,0.6860,0.5974,0.6838,0.5409,0.5044,0.4545,17,17,17,14,3,-0.203,-0.05128,-0.3546,-0.2762,0.2751,-0.08824,-0.14706,-0.20588,-0.14706,-0.08824,1.407,1,5,5,0,0,TRUE
180,1,11,382845,0.1900,0.9242,0.08256,52082,25008, 77090,28317,54760,63175, 79967,0.3139,0.15072,0.4646,0.6758,0.6479,0.7315,0.5848,0.5496,0.4908,17,17,17,14,3,-0.203,-0.05128,-0.3546,-0.2762,0.2751,-0.08824,-0.14706,-0.20588,-0.14706,-0.08824,1.407,1,5,5,0,0,TRUE
180,1,12,409744,0.1900,0.9242,0.13122,50808,24729, 75537,27212,53806,62189, 80197,0.3074,0.14963,0.4571,0.6727,0.6513,0.7353,0.5840,0.5485,0.4850,17,17,17,14,3,-0.203,-0.05128,-0.3546,-0.2762,0.2751,-0.08824,-0.14706,-0.20588,-0.14706,-0.08824,1.407,1,5,5,0,0,TRUE
180,1,13,374207,0.1900,0.9242,0.08727,48264,14142, 62406,29528,54464,63285, 81253,0.3174,0.09300,0.4104,0.7734,0.6204,0.6788,0.5340,0.4965,0.4344,17,17,17,14,3,-0.203,-0.05128,-0.3546,-0.2762,0.2751,-0.08824,-0.14706,-0.20588,-0.14706,-0.08824,1.407,1,5,5,0,0,TRUE
180,1,14,316078,0.1900,0.9242,0.15105,42204, 9400, 51604,30692,50480,57914, 72283,0.3223,0.07180,0.3941,0.8179,0.5790,0.6271,0.5055,0.4712,0.4165,17,17,17,14,3,-0.203,-0.05128,-0.3546,-0.2762,0.2751,-0.08824,-0.14706,-0.20588,-0.14706,-0.08824,1.407,1,5,5,0,0,TRUE
180,1,15,355797,0.1900,0.9242,0.21716,37737,17239, 54976,17408,38449,44919, 58405,0.3126,0.14278,0.4553,0.6865,0.6844,0.7596,0.5885,0.5504,0.4849,17,17,17,14,3,-0.203,-0.05128,-0.3546,-0.2762,0.2751,-0.08824,-0.14706,-0.20588,-0.14706,-0.08824,1.407,1,5,5,0,0,TRUE
180,1,16,394634,0.1900,0.9242,0.21094,42145,21156, 63301,19578,44038,50784, 65296,0.3083,0.15478,0.4631,0.6660,0.6830,0.7640,0.5898,0.5549,0.4922,17,17,17,14,3,-0.203,-0.05128,-0.3546,-0.2762,0.2751,-0.08824,-0.14706,-0.20588,-0.14706,-0.08824,1.407,1,5,5,0,0,TRUE
180,1,17,434171,0.1900,0.9242,0.14241,51777,19135, 70913,36620,63173,72259, 89013,0.3068,0.11337,0.4201,0.7303,0.5858,0.6595,0.5289,0.4953,0.4434,17,17,17,14,3,-0.203,-0.05128,-0.3546,-0.2762,0.2751,-0.08824,-0.14706,-0.20588,-0.14706,-0.08824,1.407,1,5,5,0,0,TRUE
406,1, 1,448043,0.1936,0.9320,0.14508,58676,28111, 86787,32019,64958,76230, 95320,0.3055,0.14637,0.4519,0.6761,0.6470,0.7305,0.5719,0.5324,0.4766,17,17,17,14,2,-0.203,-0.05128,-0.3546,-0.2774,0.3415,-0.02941,-0.14706,-0.14706,-0.08824,-0.14706,1.465,1,6,6,0,0,TRUE
406,1, 2,394222,0.1936,0.9320,0.19341,49830,21423, 71253,23454,51399,61600, 78529,0.3133,0.13471,0.4480,0.6993,0.6800,0.7524,0.5809,0.5363,0.4757,17,17,17,14,2,-0.203,-0.05128,-0.3546,-0.2774,0.3415,-0.02941,-0.14706,-0.14706,-0.08824,-0.14706,1.465,1,6,6,0,0,TRUE
406,1, 3,314682,0.1936,0.9320,0.15453,40990,17156, 58146,19860,42836,50347, 63878,0.3172,0.13277,0.4500,0.7051,0.6738,0.7456,0.5759,0.5360,0.4765,17,17,17,14,2,-0.203,-0.05128,-0.3546,-0.2774,0.3415,-0.02941,-0.14706,-0.14706,-0.08824,-0.14706,1.465,1,6,6,0,0,TRUE
406,1, 4,418797,0.1936,0.9320,0.21936,64974,27086, 92061,35651,73522,85277,106250,0.3110,0.12965,0.4406,0.7058,0.6457,0.7209,0.5560,0.5191,0.4642,17,17,17,14,2,-0.203,-0.05128,-0.3546,-0.2774,0.3415,-0.02941,-0.14706,-0.14706,-0.08824,-0.14706,1.465,1,6,6,0,0,TRUE
406,1, 5,452117,0.1936,0.9320,0.16069,81962,34591,116554,41810,84033,97218,119925,0.3298,0.13921,0.4690,0.7032,0.6622,0.7360,0.5811,0.5452,0.4929,17,17,17,14,2,-0.203,-0.05128,-0.3546,-0.2774,0.3415,-0.02941,-0.14706,-0.14706,-0.08824,-0.14706,1.465,1,6,6,0,0,TRUE
406,1, 6,445378,0.1936,0.9320,0.23307,57012,22786, 79798,41309,70523,81331, 98802,0.3029,0.12108,0.4240,0.7145,0.5799,0.6589,0.5308,0.4952,0.4468,17,17,17,14,2,-0.203,-0.05128,-0.3546,-0.2774,0.3415,-0.02941,-0.14706,-0.14706,-0.08824,-0.14706,1.465,1,6,6,0,0,TRUE
406,1, 7,431005,0.1936,0.9320,0.23348,78487,28734,107221,36644,71073,84249,103460,0.3545,0.12977,0.4842,0.7323,0.6819,0.7455,0.6014,0.5600,0.5089,17,17,17,14,2,-0.203,-0.05128,-0.3546,-0.2774,0.3415,-0.02941,-0.14706,-0.14706,-0.08824,-0.14706,1.465,1,6,6,0,0,TRUE
406,1, 8,408009,0.1936,0.9320,0.15371,71424,31202,102626,38906,70783,84355,103643,0.3301,0.14419,0.4742,0.6962,0.6475,0.7253,0.5919,0.5489,0.4975,17,17,17,14,2,-0.203,-0.05128,-0.3546,-0.2774,0.3415,-0.02941,-0.14706,-0.14706,-0.08824,-0.14706,1.465,1,6,6,0,0,TRUE
406,1, 9,318933,0.1936,0.9320,0.25917,40982,12681, 53663,30441,50317,57504, 70524,0.3121,0.09656,0.4086,0.7637,0.5738,0.6381,0.5161,0.4827,0.4321,17,17,17,14,2,-0.203,-0.05128,-0.3546,-0.2774,0.3415,-0.02941,-0.14706,-0.14706,-0.08824,-0.14706,1.465,1,6,6,0,0,TRUE
406,1,10,319500,0.1936,0.9320,0.26782,34546,17762, 52308,14358,32508,39059, 50772,0.3155,0.16221,0.4777,0.6604,0.7064,0.7846,0.6167,0.5725,0.5075,17,17,17,14,2,-0.203,-0.05128,-0.3546,-0.2774,0.3415,-0.02941,-0.14706,-0.14706,-0.08824,-0.14706,1.465,1,6,6,0,0,TRUE
406,1,11,320586,0.1936,0.9320,0.15342,39379,10394, 49773,25014,45658,53138, 67281,0.3184,0.08403,0.4024,0.7912,0.6115,0.6655,0.5216,0.4837,0.4252,17,17,17,14,2,-0.203,-0.05128,-0.3546,-0.2774,0.3415,-0.02941,-0.14706,-0.14706,-0.08824,-0.14706,1.465,1,6,6,0,0,TRUE
406,1,12,385686,0.1936,0.9320,0.14069,51886,26101, 77987,31507,60068,68326, 85071,0.3016,0.15172,0.4533,0.6655,0.6223,0.7124,0.5649,0.5330,0.4783,17,17,17,14,2,-0.203,-0.05128,-0.3546,-0.2774,0.3415,-0.02941,-0.14706,-0.14706,-0.08824,-0.14706,1.465,1,6,6,0,0,TRUE
406,1,13,398341,0.1936,0.9320,0.12840,66202,30001, 96203,34552,67208,77850, 97752,0.3247,0.14713,0.4718,0.6884,0.6572,0.7359,0.5888,0.5528,0.4960,17,17,17,14,2,-0.203,-0.05128,-0.3546,-0.2774,0.3415,-0.02941,-0.14706,-0.14706,-0.08824,-0.14706,1.465,1,6,6,0,0,TRUE
406,1,14,328471,0.1936,0.9320,0.25538,41065,18992, 60058,22664,42754,49561, 63496,0.3138,0.14512,0.4589,0.6840,0.6446,0.7262,0.5842,0.5479,0.4861,17,17,17,14,2,-0.203,-0.05128,-0.3546,-0.2774,0.3415,-0.02941,-0.14706,-0.14706,-0.08824,-0.14706,1.465,1,6,6,0,0,TRUE
406,1,15,347989,0.1936,0.9320,0.18000,40948,13298, 54246,21539,42444,50068, 66182,0.3198,0.10387,0.4237,0.7549,0.6553,0.7158,0.5610,0.5200,0.4504,17,17,17,14,2,-0.203,-0.05128,-0.3546,-0.2774,0.3415,-0.02941,-0.14706,-0.14706,-0.08824,-0.14706,1.465,1,6,6,0,0,TRUE
406,1,16,441278,0.1936,0.9320,0.17753,48475,23199, 71673,22744,51353,59219, 76187,0.3086,0.14768,0.4563,0.6765,0.6808,0.7592,0.5826,0.5476,0.4847,17,17,17,14,2,-0.203,-0.05128,-0.3546,-0.2774,0.3415,-0.02941,-0.14706,-0.14706,-0.08824,-0.14706,1.465,1,6,6,0,0,TRUE
406,1,17,460934,0.1936,0.9320,0.16938,52993,26714, 79707,26260,56174,64778, 83651,0.3052,0.15388,0.4591,0.6649,0.6688,0.7523,0.5866,0.5517,0.4879,17,17,17,14,2,-0.203,-0.05128,-0.3546,-0.2774,0.3415,-0.02941,-0.14706,-0.14706,-0.08824,-0.14706,1.465,1,6,6,0,0,TRUE
849,1, 1,394222,0.1831,0.9364,0.19341,49830,21423, 71253,23454,51399,61600, 78529,0.3133,0.13471,0.4480,0.6993,0.6800,0.7524,0.5809,0.5363,0.4757,17,17,17,14,2,-0.203,-0.05128,-0.3546,-0.2551,0.3398,-0.08824,-0.14706,-0.14706,-0.14706,-0.02941,1.411,1,6,6,0,0,TRUE
849,1, 2,323177,0.1831,0.9364,0.16586,42067,17620, 59688,20372,44003,51710, 65598,0.3171,0.13281,0.4499,0.7050,0.6739,0.7457,0.5757,0.5358,0.4764,17,17,17,14,2,-0.203,-0.05128,-0.3546,-0.2551,0.3398,-0.08824,-0.14706,-0.14706,-0.14706,-0.02941,1.411,1,6,6,0,0,TRUE
