draw,chain,district,total_pop,plan_dev,comp_edge,comp_polsby,nv_ldp,nv_komei,nv_ruling,nv_cdp,nv_opp_coalition_4,nv_opp_coalition_5,nv_opp_all,ldp_share,komei_share,ruling_share,ldp_v_komei,ldp_v_cdp,ruling_v_cdp,ruling_v_opp_coalition_4,ruling_v_opp_coalition_5,ruling_v_opp_all,seats_ldp_v_cdp,seats_ruling_v_cdp,seats_ruling_v_opp_coalition_4,seats_ruling_v_opp_coalition_5,seats_ruling_v_opp_all,egap_ldp_v_cdp,egap_ruling_v_cdp,egap_ruling_v_opp_coalition_4,egap_ruling_v_opp_coalition_5,egap_ruling_v_opp_all,pbias_ldp_v_cdp,pbias_ruling_v_cdp,pbias_ruling_v_opp_coalition_4,pbias_ruling_v_opp_coalition_5,pbias_ruling_v_opp_all,max_to_min,gun_split,num_mun_split,mun_split,multi,koiki_split,valid
52,1,1,424971,0.16533,0.8426,0.06507, 96855,20370,117224,49848, 82305, 94045,108602,0.4105,0.08634,0.4969,0.8263,0.6602,0.7016,0.5875,0.5549,0.5191,4,4,4,4,4,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344, 0.00, 0.00, 0.00, 0.00, 0.00,1.386,0,1,1,0,2,TRUE
52,1,2,340622,0.16533,0.8426,0.08874,124000,18843,142843,54966, 88675,103630,117243,0.4594,0.06981,0.5292,0.8681,0.6929,0.7221,0.6170,0.5796,0.5492,4,4,4,4,4,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344, 0.00, 0.00, 0.00, 0.00, 0.00,1.386,0,1,1,0,2,TRUE
52,1,3,441194,0.16533,0.8426,0.07223,108742,21155,129898,57159, 91676,105279,121376,0.4144,0.08062,0.4950,0.8372,0.6555,0.6944,0.5863,0.5523,0.5170,4,4,4,4,4,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344, 0.00, 0.00, 0.00, 0.00, 0.00,1.386,0,1,1,0,2,TRUE
52,1,4,318218,0.16533,0.8426,0.12572,100968,18125,119094,48400, 75699, 87114, 99146,0.4442,0.07974,0.5239,0.8478,0.6760,0.7111,0.6114,0.5775,0.5457,4,4,4,4,4,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344, 0.00, 0.00, 0.00, 0.00, 0.00,1.386,0,1,1,0,2,TRUE
66,1,1,371463,0.16396,0.8519,0.05373,113492,20053,133545,55545, 88981,102074,116898,0.4350,0.07687,0.5119,0.8499,0.6714,0.7063,0.6001,0.5668,0.5332,4,4,4,4,3,-0.1564,-0.08481,-0.2986,-0.3677,-0.2380,-0.25,-0.25,-0.25,-0.25,-0.25,1.389,0,1,1,0,3,TRUE
66,1,2,442682,0.16396,0.8519,0.10710,123347,23102,146449,60656, 96039,110850,126569,0.4335,0.08119,0.5147,0.8423,0.6704,0.7071,0.6040,0.5692,0.5364,4,4,4,4,3,-0.1564,-0.08481,-0.2986,-0.3677,-0.2380,-0.25,-0.25,-0.25,-0.25,-0.25,1.389,0,1,1,0,3,TRUE
66,1,3,392118,0.16396,0.8519,0.16089, 75891,17241, 93132,43460, 71189, 81274, 94503,0.3861,0.08771,0.4738,0.8149,0.6359,0.6818,0.5668,0.5340,0.4963,4,4,4,4,3,-0.1564,-0.08481,-0.2986,-0.3677,-0.2380,-0.25,-0.25,-0.25,-0.25,-0.25,1.389,0,1,1,0,3,TRUE
66,1,4,318742,0.16396,0.8519,0.07420,117835,18098,135933,50712, 82145, 95869,108396,0.4647,0.07137,0.5361,0.8669,0.6991,0.7283,0.6233,0.5864,0.5564,4,4,4,4,3,-0.1564,-0.08481,-0.2986,-0.3677,-0.2380,-0.25,-0.25,-0.25,-0.25,-0.25,1.389,0,1,1,0,3,TRUE
69,1,1,371463,0.16396,0.8519,0.05373,113492,20053,133545,55545, 88981,102074,116898,0.4350,0.07687,0.5119,0.8499,0.6714,0.7063,0.6001,0.5668,0.5332,4,4,4,4,3,-0.1564,-0.08481,-0.2986,-0.3677,-0.2380,-0.25,-0.25,-0.25,-0.25,-0.25,1.389,0,1,1,0,3,TRUE
69,1,2,442682,0.16396,0.8519,0.10710,123347,23102,146449,60656, 96039,110850,126569,0.4335,0.08119,0.5147,0.8423,0.6704,0.7071,0.6040,0.5692,0.5364,4,4,4,4,3,-0.1564,-0.08481,-0.2986,-0.3677,-0.2380,-0.25,-0.25,-0.25,-0.25,-0.25,1.389,0,1,1,0,3,TRUE
