draw,district,total_pop,chain,plan_dev,comp_edge,comp_polsby,nv_ldp,nv_komei,nv_ruling,nv_cdp,nv_opp_coalition_4,nv_opp_coalition_5,nv_opp_all,ldp_share,komei_share,ruling_share,ldp_v_komei,ldp_v_cdp,ruling_v_cdp,ruling_v_opp_coalition_4,ruling_v_opp_coalition_5,ruling_v_opp_all,seats_ldp_v_cdp,seats_ruling_v_cdp,seats_ruling_v_opp_coalition_4,seats_ruling_v_opp_coalition_5,seats_ruling_v_opp_all,egap_ldp_v_cdp,egap_ruling_v_cdp,egap_ruling_v_opp_coalition_4,egap_ruling_v_opp_coalition_5,egap_ruling_v_opp_all,pbias_ldp_v_cdp,pbias_ruling_v_cdp,pbias_ruling_v_opp_coalition_4,pbias_ruling_v_opp_coalition_5,pbias_ruling_v_opp_all,mun_split,gun_split,koiki_split,max_to_min
lh_2022,1,431373,NA,0.08035,0.8565,0.18177, 89611,15189,104800,42648,68166,78273, 88447,0.4464,0.07566,0.5220,0.8551,0.6776,0.7108,0.6059,0.5725,0.5423,5,5,5,5,5,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344,-0.1, 0.1,-0.1, 0.1, 0.1,0,0,1,1.148
lh_2022,2,472383,NA,0.08035,0.8565,0.07427, 74272,17063, 91335,38469,63206,72321, 84109,0.4045,0.09293,0.4974,0.8132,0.6588,0.7036,0.5910,0.5581,0.5206,5,5,5,5,5,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344,-0.1, 0.1,-0.1, 0.1, 0.1,0,0,1,1.148
lh_2022,3,443926,NA,0.08035,0.8565,0.22936, 86184,17244,103428,45547,72154,82853, 95566,0.4138,0.08280,0.4966,0.8333,0.6543,0.6943,0.5891,0.5552,0.5198,5,5,5,5,5,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344,-0.1, 0.1,-0.1, 0.1, 0.1,0,0,1,1.148
lh_2022,4,426987,NA,0.08035,0.8565,0.04361, 85735,15050,100785,41775,66970,78659, 90029,0.4319,0.07581,0.5077,0.8507,0.6724,0.7070,0.6008,0.5617,0.5282,5,5,5,5,5,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344,-0.1, 0.1,-0.1, 0.1, 0.1,0,0,1,1.148
lh_2022,5,411574,NA,0.08035,0.8565,0.14038, 94764,13947,108711,41933,67859,77961, 88214,0.4636,0.06823,0.5318,0.8717,0.6932,0.7216,0.6157,0.5824,0.5520,5,5,5,5,5,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344,-0.1, 0.1,-0.1, 0.1, 0.1,0,0,1,1.148
9,1,415143, 1,0.06792,0.8565,0.14178, 76789,15881, 92670,38993,61663,71035, 80857,0.4249,0.08788,0.5128,0.8286,0.6632,0.7039,0.6005,0.5661,0.5340,5,5,5,5,5,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344, 0.1, 0.1,-0.1, 0.1, 0.1,1,0,2,1.125
9,2,466945, 1,0.06792,0.8565,0.06702,108456,16761,125217,46793,75999,87166, 98652,0.4666,0.07210,0.5387,0.8662,0.6986,0.7280,0.6223,0.5896,0.5593,5,5,5,5,5,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344, 0.1, 0.1,-0.1, 0.1, 0.1,1,0,2,1.125
9,3,422908, 1,0.06792,0.8565,0.04901, 84960,14910, 99870,41386,66337,77934, 89194,0.4320,0.07581,0.5078,0.8508,0.6724,0.7070,0.6009,0.5617,0.5282,5,5,5,5,5,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344, 0.1, 0.1,-0.1, 0.1, 0.1,1,0,2,1.125
9,4,434576, 1,0.06792,0.8565,0.26996, 83791,15159, 98949,42330,67718,77943, 89456,0.4261,0.07708,0.5032,0.8468,0.6644,0.7004,0.5937,0.5594,0.5252,5,5,5,5,5,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344, 0.1, 0.1,-0.1, 0.1, 0.1,1,0,2,1.125
9,5,446671, 1,0.06792,0.8565,0.13966, 76570,15782, 92352,40871,66637,75989, 88208,0.4051,0.08350,0.4886,0.8291,0.6520,0.6932,0.5809,0.5486,0.5115,5,5,5,5,5,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344, 0.1, 0.1,-0.1, 0.1, 0.1,1,0,2,1.125
13,1,412444, 1,0.06667,0.8241,0.05921, 95653,14408,110062,42084,67163,77329, 87394,0.4668,0.07031,0.5371,0.8691,0.6945,0.7234,0.6210,0.5873,0.5574,5,5,5,5,5,-0.1564,-0.08482,-0.2986,-0.3677,-0.4344,-0.1,-0.1,-0.1,-0.1,-0.1,1,0,4,1.131
13,2,452382, 1,0.06667,0.8241,0.15506, 96145,16731,112876,44850,70153,80527, 91482,0.4523,0.07871,0.5310,0.8518,0.6819,0.7157,0.6167,0.5836,0.5523,5,5,5,5,5,-0.1564,-0.08482,-0.2986,-0.3677,-0.4344,-0.1,-0.1,-0.1,-0.1,-0.1,1,0,4,1.131
13,3,466398, 1,0.06667,0.8241,0.11523, 75562,17479, 93041,41608,67943,77991, 90650,0.3928,0.09086,0.4837,0.8121,0.6449,0.6910,0.5780,0.5440,0.5065,5,5,5,5,5,-0.1564,-0.08482,-0.2986,-0.3677,-0.4344,-0.1,-0.1,-0.1,-0.1,-0.1,1,0,4,1.131
13,4,438402, 1,0.06667,0.8241,0.06888, 89922,15881,105804,41787,68766,80329, 91881,0.4371,0.07720,0.5143,0.8499,0.6827,0.7169,0.6061,0.5684,0.5352,5,5,5,5,5,-0.1564,-0.08482,-0.2986,-0.3677,-0.4344,-0.1,-0.1,-0.1,-0.1,-0.1,1,0,4,1.131
13,5,416617, 1,0.06667,0.8241,0.24112, 73282,13994, 87277,40045,64330,73891, 84959,0.4072,0.07776,0.4849,0.8397,0.6467,0.6855,0.5757,0.5415,0.5067,5,5,5,5,5,-0.1564,-0.08482,-0.2986,-0.3677,-0.4344,-0.1,-0.1,-0.1,-0.1,-0.1,1,0,4,1.131
16,1,410612, 1,0.06092,0.8519,0.04504, 82623,14489, 97113,40213,64428,75746, 86676,0.4322,0.07578,0.5079,0.8509,0.6726,0.7072,0.6012,0.5618,0.5284,5,5,5,5,5,-0.1564,-0.08482,-0.2986,-0.3677,-0.4344, 0.1, 0.3,-0.1, 0.1, 0.1,1,0,2,1.114
16,2,427949, 1,0.06092,0.8519,0.11414, 97876,14508,112384,43496,70401,80873, 91567,0.4623,0.06852,0.5308,0.8709,0.6923,0.7210,0.6148,0.5815,0.5510,5,5,5,5,5,-0.1564,-0.08482,-0.2986,-0.3677,-0.4344, 0.1, 0.3,-0.1, 0.1, 0.1,1,0,2,1.114
16,3,457507, 1,0.06092,0.8519,0.06505, 80334,16922, 97256,41772,68098,77639, 90153,0.4095,0.08626,0.4958,0.8260,0.6579,0.6995,0.5882,0.5561,0.5190,5,5,5,5,5,-0.1564,-0.08482,-0.2986,-0.3677,-0.4344, 0.1, 0.3,-0.1, 0.1, 0.1,1,0,2,1.114
16,4,444505, 1,0.06092,0.8519,0.23372, 87068,15525,102593,43536,69563,80001, 91679,0.4296,0.07660,0.5062,0.8487,0.6667,0.7021,0.5959,0.5619,0.5281,5,5,5,5,5,-0.1564,-0.08482,-0.2986,-0.3677,-0.4344, 0.1, 0.3,-0.1, 0.1, 0.1,1,0,2,1.114
16,5,445670, 1,0.06092,0.8519,0.18130, 82665,17049, 99714,41357,65864,75807, 86291,0.4266,0.08798,0.5146,0.8290,0.6665,0.7068,0.6022,0.5681,0.5361,5,5,5,5,5,-0.1564,-0.08482,-0.2986,-0.3677,-0.4344, 0.1, 0.3,-0.1, 0.1, 0.1,1,0,2,1.114
17,1,411574, 1,0.05872,0.8565,0.14038, 94764,13947,108711,41933,67859,77961, 88214,0.4636,0.06823,0.5318,0.8717,0.6932,0.7216,0.6157,0.5824,0.5520,5,5,5,5,5,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344,-0.1, 0.1,-0.1, 0.1, 0.1,0,0,1,1.121
17,2,426987, 1,0.05872,0.8565,0.04361, 85735,15050,100785,41775,66970,78659, 90029,0.4319,0.07581,0.5077,0.8507,0.6724,0.7070,0.6008,0.5617,0.5282,5,5,5,5,5,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344,-0.1, 0.1,-0.1, 0.1, 0.1,0,0,1,1.121
17,3,461195, 1,0.05872,0.8565,0.22979, 83831,16841,100672,44258,70124,80587, 93005,0.4135,0.08306,0.4965,0.8327,0.6545,0.6946,0.5894,0.5554,0.5198,5,5,5,5,5,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344,-0.1, 0.1,-0.1, 0.1, 0.1,0,0,1,1.121
17,4,431373, 1,0.05872,0.8565,0.07427, 74272,17063, 91335,38469,63206,72321, 84109,0.4045,0.09293,0.4974,0.8132,0.6588,0.7036,0.5910,0.5581,0.5206,5,5,5,5,5,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344,-0.1, 0.1,-0.1, 0.1, 0.1,0,0,1,1.121
17,5,455114, 1,0.05872,0.8565,0.18584, 91964,15592,107555,43938,70196,80539, 91009,0.4459,0.07559,0.5214,0.8551,0.6767,0.7100,0.6051,0.5718,0.5417,5,5,5,5,5,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344,-0.1, 0.1,-0.1, 0.1, 0.1,0,0,1,1.121
19,1,411574, 1,0.05872,0.8565,0.14038, 94764,13947,108711,41933,67859,77961, 88214,0.4636,0.06823,0.5318,0.8717,0.6932,0.7216,0.6157,0.5824,0.5520,5,5,5,5,5,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344,-0.1, 0.1,-0.1, 0.1, 0.1,0,0,1,1.121
19,2,426987, 1,0.05872,0.8565,0.04361, 85735,15050,100785,41775,66970,78659, 90029,0.4319,0.07581,0.5077,0.8507,0.6724,0.7070,0.6008,0.5617,0.5282,5,5,5,5,5,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344,-0.1, 0.1,-0.1, 0.1, 0.1,0,0,1,1.121
19,3,461195, 1,0.05872,0.8565,0.22979, 83831,16841,100672,44258,70124,80587, 93005,0.4135,0.08306,0.4965,0.8327,0.6545,0.6946,0.5894,0.5554,0.5198,5,5,5,5,5,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344,-0.1, 0.1,-0.1, 0.1, 0.1,0,0,1,1.121
19,4,431373, 1,0.05872,0.8565,0.07427, 74272,17063, 91335,38469,63206,72321, 84109,0.4045,0.09293,0.4974,0.8132,0.6588,0.7036,0.5910,0.5581,0.5206,5,5,5,5,5,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344,-0.1, 0.1,-0.1, 0.1, 0.1,0,0,1,1.121
19,5,455114, 1,0.05872,0.8565,0.18584, 91964,15592,107555,43938,70196,80539, 91009,0.4459,0.07559,0.5214,0.8551,0.6767,0.7100,0.6051,0.5718,0.5417,5,5,5,5,5,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344,-0.1, 0.1,-0.1, 0.1, 0.1,0,0,1,1.121
20,1,411574, 1,0.05872,0.8565,0.14038, 94764,13947,108711,41933,67859,77961, 88214,0.4636,0.06823,0.5318,0.8717,0.6932,0.7216,0.6157,0.5824,0.5520,5,5,5,5,5,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344,-0.1, 0.1,-0.1, 0.1, 0.1,0,0,1,1.121
20,2,426987, 1,0.05872,0.8565,0.04361, 85735,15050,100785,41775,66970,78659, 90029,0.4319,0.07581,0.5077,0.8507,0.6724,0.7070,0.6008,0.5617,0.5282,5,5,5,5,5,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344,-0.1, 0.1,-0.1, 0.1, 0.1,0,0,1,1.121
20,3,461195, 1,0.05872,0.8565,0.22979, 83831,16841,100672,44258,70124,80587, 93005,0.4135,0.08306,0.4965,0.8327,0.6545,0.6946,0.5894,0.5554,0.5198,5,5,5,5,5,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344,-0.1, 0.1,-0.1, 0.1, 0.1,0,0,1,1.121
20,4,431373, 1,0.05872,0.8565,0.07427, 74272,17063, 91335,38469,63206,72321, 84109,0.4045,0.09293,0.4974,0.8132,0.6588,0.7036,0.5910,0.5581,0.5206,5,5,5,5,5,-0.1564,-0.08481,-0.2986,-0.3677,-0.4344,-0.1, 0.1,-0.1, 0.1, 0.1,0,0,1,1.121
