draw,chain,district,total_pop,plan_dev,comp_edge,comp_polsby,nv_ldp,nv_komei,nv_ruling,nv_cdp,nv_opp_coalition_4,nv_opp_coalition_5,nv_opp_all,ldp_share,komei_share,ruling_share,ldp_v_komei,ldp_v_cdp,ruling_v_cdp,ruling_v_opp_coalition_4,ruling_v_opp_coalition_5,ruling_v_opp_all,seats_ldp_v_cdp,seats_ruling_v_cdp,seats_ruling_v_opp_coalition_4,seats_ruling_v_opp_coalition_5,seats_ruling_v_opp_all,egap_ldp_v_cdp,egap_ruling_v_cdp,egap_ruling_v_opp_coalition_4,egap_ruling_v_opp_coalition_5,egap_ruling_v_opp_all,pbias_ldp_v_cdp,pbias_ruling_v_cdp,pbias_ruling_v_opp_coalition_4,pbias_ruling_v_opp_coalition_5,pbias_ruling_v_opp_all,max_to_min,gun_split,num_mun_split,mun_split,multi,koiki_split,valid
10,1, 1,371757,0.3202,0.9057,0.24043, 84867,26867,111734,51682, 87960, 98630,122933,0.3446,0.10908,0.4537,0.7596,0.6215,0.6838,0.5595,0.5312,0.4761,10,10,10,7,1,-0.274,-0.1373,-0.3927,-0.1952798,0.36816, 0.2, 0.1, 0.1, 0.0, 0.1,1.882,1,2,2,0,2,TRUE
10,1, 2,372584,0.3202,0.9057,0.13333, 79413,30965,110378,47723, 82243, 97301,112288,0.3387,0.13208,0.4708,0.7195,0.6247,0.6982,0.5730,0.5315,0.4957,10,10,10,7,1,-0.274,-0.1373,-0.3927,-0.1952798,0.36816, 0.2, 0.1, 0.1, 0.0, 0.1,1.882,1,2,2,0,2,TRUE
10,1, 3,259700,0.3202,0.9057,0.05344, 82890,22898,105788,39191, 65034, 74050, 91842,0.3999,0.11048,0.5104,0.7836,0.6790,0.7297,0.6193,0.5883,0.5353,10,10,10,7,1,-0.274,-0.1373,-0.3927,-0.1952798,0.36816, 0.2, 0.1, 0.1, 0.0, 0.1,1.882,1,2,2,0,2,TRUE
10,1, 4,372559,0.3202,0.9057,0.23638, 55378,22463, 77841,35005, 67718, 78146, 93046,0.3044,0.12346,0.4278,0.7116,0.6128,0.6899,0.5348,0.4990,0.4555,10,10,10,7,1,-0.274,-0.1373,-0.3927,-0.1952798,0.36816, 0.2, 0.1, 0.1, 0.0, 0.1,1.882,1,2,2,0,2,TRUE
10,1, 5,325275,0.3202,0.9057,0.19718, 73257,23297, 96553,46593, 77409, 87587,100582,0.3525,0.11209,0.4646,0.7588,0.6113,0.6745,0.5550,0.5244,0.4898,10,10,10,7,1,-0.274,-0.1373,-0.3927,-0.1952798,0.36816, 0.2, 0.1, 0.1, 0.0, 0.1,1.882,1,2,2,0,2,TRUE
10,1, 6,480564,0.3202,0.9057,0.11611, 67614,21314, 88928,43366, 80149, 92653,112499,0.3138,0.09892,0.4127,0.7606,0.6093,0.6723,0.5260,0.4897,0.4415,10,10,10,7,1,-0.274,-0.1373,-0.3927,-0.1952798,0.36816, 0.2, 0.1, 0.1, 0.0, 0.1,1.882,1,2,2,0,2,TRUE
10,1, 7,393548,0.3202,0.9057,0.25467, 83878,35578,119455,59774,100273,114034,131255,0.3171,0.13450,0.4516,0.7023,0.5840,0.6666,0.5437,0.5116,0.4765,10,10,10,7,1,-0.274,-0.1373,-0.3927,-0.1952798,0.36816, 0.2, 0.1, 0.1, 0.0, 0.1,1.882,1,2,2,0,2,TRUE
10,1, 8,347001,0.3202,0.9057,0.07559, 95352,35309,130661,63504,106175,118745,133954,0.3443,0.12748,0.4717,0.7298,0.6003,0.6730,0.5517,0.5239,0.4938,10,10,10,7,1,-0.274,-0.1373,-0.3927,-0.1952798,0.36816, 0.2, 0.1, 0.1, 0.0, 0.1,1.882,1,2,2,0,2,TRUE
10,1, 9,408359,0.3202,0.9057,0.26739, 75216,25487,100703,52083, 89582,102828,121512,0.3189,0.10806,0.4270,0.7471,0.5909,0.6592,0.5292,0.4948,0.4532,10,10,10,7,1,-0.274,-0.1373,-0.3927,-0.1952798,0.36816, 0.2, 0.1, 0.1, 0.0, 0.1,1.882,1,2,2,0,2,TRUE
10,1,10,488680,0.3202,0.9057,0.29984, 90845,31620,122465,59106,101673,117957,140263,0.3259,0.11344,0.4394,0.7418,0.6058,0.6745,0.5464,0.5094,0.4661,10,10,10,7,1,-0.274,-0.1373,-0.3927,-0.1952798,0.36816, 0.2, 0.1, 0.1, 0.0, 0.1,1.882,1,2,2,0,2,TRUE
