draw,chain,district,total_pop,plan_dev,comp_edge,comp_polsby,nv_ldp,nv_komei,nv_ruling,nv_cdp,nv_opp_coalition_4,nv_opp_coalition_5,nv_opp_all,ldp_share,komei_share,ruling_share,ldp_v_komei,ldp_v_cdp,ruling_v_cdp,ruling_v_opp_coalition_4,ruling_v_opp_coalition_5,ruling_v_opp_all,seats_ldp_v_cdp,seats_ruling_v_cdp,seats_ruling_v_opp_coalition_4,seats_ruling_v_opp_coalition_5,seats_ruling_v_opp_all,egap_ldp_v_cdp,egap_ruling_v_cdp,egap_ruling_v_opp_coalition_4,egap_ruling_v_opp_coalition_5,egap_ruling_v_opp_all,pbias_ldp_v_cdp,pbias_ruling_v_cdp,pbias_ruling_v_opp_coalition_4,pbias_ruling_v_opp_coalition_5,pbias_ruling_v_opp_all,max_to_min,gun_split,num_mun_split,mun_split,multi,koiki_split,valid
5,1,1,339290,0.10349,0.8883,0.13198, 55631,21282, 76913,21143,41836, 54052, 69896,0.3566,0.1364,0.4931,0.7233,0.7246,0.7844,0.6477,0.5873,0.5239,4,4,4,4,4,-0.001548,0.08832,-0.1623,-0.2987,-0.4208,0.00, 0.00,0.00, 0.00, 0.00,1.219,0,1,1,0,1,TRUE
5,1,2,408299,0.10349,0.8883,0.23932, 93270,24136,117406,26587,51272, 71664, 93322,0.4189,0.1084,0.5273,0.7945,0.7782,0.8154,0.6960,0.6210,0.5572,4,4,4,4,4,-0.001548,0.08832,-0.1623,-0.2987,-0.4208,0.00, 0.00,0.00, 0.00, 0.00,1.219,0,1,1,0,1,TRUE
5,1,3,397479,0.10349,0.8883,0.33223, 90547,27591,118138,35004,66320, 88612,111868,0.3731,0.1137,0.4868,0.7665,0.7212,0.7714,0.6405,0.5714,0.5136,4,4,4,4,4,-0.001548,0.08832,-0.1623,-0.2987,-0.4208,0.00, 0.00,0.00, 0.00, 0.00,1.219,0,1,1,0,1,TRUE
5,1,4,334962,0.10349,0.8883,0.22569, 93987,24133,118120,28883,53745, 71975, 92326,0.4234,0.1087,0.5321,0.7957,0.7650,0.8035,0.6873,0.6214,0.5613,4,4,4,4,4,-0.001548,0.08832,-0.1623,-0.2987,-0.4208,0.00, 0.00,0.00, 0.00, 0.00,1.219,0,1,1,0,1,TRUE
10,1,1,397479,0.20876,0.8592,0.33223, 90547,27591,118138,35004,66320, 88612,111868,0.3731,0.1137,0.4868,0.7665,0.7212,0.7714,0.6405,0.5714,0.5136,4,4,4,4,4,-0.001548,0.08832,-0.1623,-0.2987,-0.4208,0.00, 0.00,0.00,-0.25, 0.00,1.428,0,1,1,0,1,TRUE
10,1,2,292766,0.20876,0.8592,0.23984, 86767,22049,108816,26662,49438, 65941, 84232,0.4265,0.1084,0.5349,0.7974,0.7650,0.8032,0.6876,0.6227,0.5637,4,4,4,4,4,-0.001548,0.08832,-0.1623,-0.2987,-0.4208,0.00, 0.00,0.00,-0.25, 0.00,1.428,0,1,1,0,1,TRUE
10,1,3,371730,0.20876,0.8592,0.19170, 77561,20404, 97965,22727,44285, 62086, 81325,0.4087,0.1075,0.5163,0.7918,0.7734,0.8117,0.6887,0.6121,0.5464,4,4,4,4,4,-0.001548,0.08832,-0.1623,-0.2987,-0.4208,0.00, 0.00,0.00,-0.25, 0.00,1.428,0,1,1,0,1,TRUE
10,1,4,418055,0.20876,0.8592,0.14688, 78560,27098,105658,27224,53129, 69664, 89986,0.3787,0.1306,0.5094,0.7435,0.7427,0.7952,0.6654,0.6027,0.5401,4,4,4,4,4,-0.001548,0.08832,-0.1623,-0.2987,-0.4208,0.00, 0.00,0.00,-0.25, 0.00,1.428,0,1,1,0,1,TRUE
19,1,1,336766,0.08984,0.8641,0.20466, 52525,20239, 72764,20502,40654, 52431, 67893,0.3512,0.1353,0.4865,0.7219,0.7193,0.7802,0.6416,0.5812,0.5173,4,4,4,4,4,-0.001548,0.08832,-0.1623,-0.2987,-0.4208,0.00, 0.00,0.00, 0.00, 0.00,1.191,0,0,0,0,1,TRUE
19,1,2,399739,0.08984,0.8641,0.21337, 90081,22983,113063,25487,49291, 69265, 90487,0.4187,0.1068,0.5255,0.7968,0.7795,0.8161,0.6964,0.6201,0.5555,4,4,4,4,4,-0.001548,0.08832,-0.1623,-0.2987,-0.4208,0.00, 0.00,0.00, 0.00, 0.00,1.191,0,0,0,0,1,TRUE
