draw,chain,district,total_pop,plan_dev,comp_edge,comp_polsby,nv_ldp,nv_komei,nv_ruling,nv_cdp,nv_opp_coalition_4,nv_opp_coalition_5,nv_opp_all,ldp_share,komei_share,ruling_share,ldp_v_komei,ldp_v_cdp,ruling_v_cdp,ruling_v_opp_coalition_4,ruling_v_opp_coalition_5,ruling_v_opp_all,seats_ldp_v_cdp,seats_ruling_v_cdp,seats_ruling_v_opp_coalition_4,seats_ruling_v_opp_coalition_5,seats_ruling_v_opp_all,egap_ldp_v_cdp,egap_ruling_v_cdp,egap_ruling_v_opp_coalition_4,egap_ruling_v_opp_coalition_5,egap_ruling_v_opp_all,pbias_ldp_v_cdp,pbias_ruling_v_cdp,pbias_ruling_v_opp_coalition_4,pbias_ruling_v_opp_coalition_5,pbias_ruling_v_opp_all,mun_split,gun_split,koiki_split,max_to_min
8,1,1,312649,0.18448,0.8458,0.04781, 62443,22220, 84664,17928,34091,42466, 56189,0.4222,0.1502,0.5724,0.7376,0.7770,0.8253,0.7130,0.6660,0.6011,6,6,6,6,6,0.001282,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.1667, 0.0000, 0.1667, 0.1667,0,1,1,1.418
8,1,2,443204,0.18448,0.8458,0.13275, 83242,33703,116944,30081,61870,73801, 98335,0.3680,0.1490,0.5170,0.7118,0.7346,0.7954,0.6540,0.6131,0.5432,6,6,6,6,6,0.001282,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.1667, 0.0000, 0.1667, 0.1667,0,1,1,1.418
8,1,3,385754,0.18448,0.8458,0.15063, 84685,30620,115304,29124,52518,75794, 97315,0.3819,0.1381,0.5200,0.7345,0.7441,0.7984,0.6871,0.6034,0.5423,6,6,6,6,6,0.001282,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.1667, 0.0000, 0.1667, 0.1667,0,1,1,1.418
8,1,4,331439,0.18448,0.8458,0.07182, 64479,22374, 86854,22410,44716,54686, 69628,0.3941,0.1368,0.5309,0.7424,0.7421,0.7949,0.6601,0.6136,0.5550,6,6,6,6,6,0.001282,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.1667, 0.0000, 0.1667, 0.1667,0,1,1,1.418
8,1,5,340894,0.18448,0.8458,0.21308, 59475,22749, 82225,18540,36855,44828, 60262,0.3961,0.1515,0.5476,0.7233,0.7624,0.8160,0.6905,0.6472,0.5771,6,6,6,6,6,0.001282,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.1667, 0.0000, 0.1667, 0.1667,0,1,1,1.418
8,1,6,431125,0.18448,0.8458,0.09649, 69202,22264, 91466,22625,47134,57533, 75647,0.3935,0.1266,0.5200,0.7566,0.7536,0.8017,0.6599,0.6139,0.5473,6,6,6,6,6,0.001282,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.1667, 0.0000, 0.1667, 0.1667,0,1,1,1.418
14,1,1,351998,0.16920,0.8583,0.13223, 62697,24777, 87474,18285,37013,45158, 60218,0.4035,0.1595,0.5630,0.7168,0.7742,0.8271,0.7027,0.6595,0.5923,6,6,6,6,6,0.001283,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.0000, 0.0000, 0.1667, 0.1667,0,1,1,1.353
14,1,2,372902,0.16920,0.8583,0.20077, 67222,26325, 93547,25166,51718,61134, 82761,0.3626,0.1420,0.5046,0.7186,0.7276,0.7880,0.6440,0.6048,0.5306,6,6,6,6,6,0.001283,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.0000, 0.0000, 0.1667, 0.1667,0,1,1,1.353
14,1,3,323331,0.16920,0.8583,0.14275, 48521,14721, 63242,16906,35551,43234, 56606,0.3837,0.1164,0.5001,0.7672,0.7416,0.7891,0.6401,0.5940,0.5277,6,6,6,6,6,0.001283,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.0000, 0.0000, 0.1667, 0.1667,0,1,1,1.353
14,1,4,437490,0.16920,0.8583,0.05341, 84377,31070,115447,25795,49836,61841, 81270,0.4081,0.1503,0.5583,0.7309,0.7659,0.8174,0.6985,0.6512,0.5869,6,6,6,6,6,0.001283,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.0000, 0.0000, 0.1667, 0.1667,0,1,1,1.353
