draw,chain,district,total_pop,plan_dev,comp_edge,comp_polsby,nv_ldp,nv_komei,nv_ruling,nv_cdp,nv_opp_coalition_4,nv_opp_coalition_5,nv_opp_all,ldp_share,komei_share,ruling_share,ldp_v_komei,ldp_v_cdp,ruling_v_cdp,ruling_v_opp_coalition_4,ruling_v_opp_coalition_5,ruling_v_opp_all,seats_ldp_v_cdp,seats_ruling_v_cdp,seats_ruling_v_opp_coalition_4,seats_ruling_v_opp_coalition_5,seats_ruling_v_opp_all,egap_ldp_v_cdp,egap_ruling_v_cdp,egap_ruling_v_opp_coalition_4,egap_ruling_v_opp_coalition_5,egap_ruling_v_opp_all,pbias_ldp_v_cdp,pbias_ruling_v_cdp,pbias_ruling_v_opp_coalition_4,pbias_ruling_v_opp_coalition_5,pbias_ruling_v_opp_all,mun_split,gun_split,koiki_split,max_to_min
5,1,1,365487,0.3295,0.8452,0.11078, 75984,24898,100883,27314,47819,60310, 75438,0.4097,0.1342,0.5439,0.7532,0.7356,0.7870,0.6784,0.6259,0.5722,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.831
5,1,2,499303,0.3295,0.8452,0.14779, 84117,23916,108032,37455,60541,79405,100526,0.3821,0.1086,0.4907,0.7786,0.6919,0.7426,0.6409,0.5764,0.5180,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.831
5,1,3,364696,0.3295,0.8452,0.32360, 81193,24700,105893,29443,48198,62543, 79585,0.4170,0.1269,0.5438,0.7668,0.7339,0.7825,0.6872,0.6287,0.5709,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.831
5,1,4,272716,0.3295,0.8452,0.05306, 45784,13899, 59683,19566,31783,42498, 52700,0.3871,0.1175,0.5046,0.7671,0.7006,0.7531,0.6525,0.5841,0.5311,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.831
9,1,1,364696,0.2738,0.8393,0.32360, 81193,24700,105893,29443,48198,62543, 79585,0.4170,0.1269,0.5438,0.7668,0.7339,0.7825,0.6872,0.6287,0.5709,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.671
9,1,2,455580,0.2738,0.8393,0.30960, 71502,20287, 91789,31745,51608,68469, 87258,0.3775,0.1071,0.4846,0.7790,0.6925,0.7430,0.6401,0.5728,0.5127,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.671
9,1,3,409210,0.2738,0.8393,0.11815, 88599,28527,117126,33023,56752,71246, 88706,0.4098,0.1319,0.5417,0.7565,0.7285,0.7801,0.6736,0.6218,0.5690,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.671
9,1,4,272716,0.2738,0.8393,0.05306, 45784,13899, 59683,19566,31783,42498, 52700,0.3871,0.1175,0.5046,0.7671,0.7006,0.7531,0.6525,0.5841,0.5311,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.671
24,1,1,305368,0.2131,0.8571,0.35963, 69261,21548, 90809,25107,41378,53161, 67963,0.4156,0.1293,0.5449,0.7628,0.7340,0.7834,0.6870,0.6308,0.5720,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.538
24,1,2,296295,0.2131,0.8571,0.18748, 65067,21421, 86488,24712,42243,52269, 65542,0.4071,0.1340,0.5411,0.7523,0.7247,0.7778,0.6719,0.6233,0.5689,4,4,4,4,4,-0.06764,0.03399,-0.1692,-0.2905,-0.403, 0.00, 0.00, 0.00, 0.00, 0.00,0,0,0,1.538
