draw,district,total_pop,chain,plan_dev,comp_edge,comp_polsby,nv_ldp,nv_komei,nv_ruling,nv_cdp,nv_opp_coalition_4,nv_opp_coalition_5,nv_opp_all,ldp_share,komei_share,ruling_share,ldp_v_komei,ldp_v_cdp,ruling_v_cdp,ruling_v_opp_coalition_4,ruling_v_opp_coalition_5,ruling_v_opp_all,seats_ldp_v_cdp,seats_ruling_v_cdp,seats_ruling_v_opp_coalition_4,seats_ruling_v_opp_coalition_5,seats_ruling_v_opp_all,egap_ldp_v_cdp,egap_ruling_v_cdp,egap_ruling_v_opp_coalition_4,egap_ruling_v_opp_coalition_5,egap_ruling_v_opp_all,pbias_ldp_v_cdp,pbias_ruling_v_cdp,pbias_ruling_v_opp_coalition_4,pbias_ruling_v_opp_coalition_5,pbias_ruling_v_opp_all,mun_split,gun_split,koiki_split,max_to_min
lh_2022,1,496772,NA,0.3102,0.7798,0.12032,69571,20001, 89572,30634,49749,67001,85131,0.3767,0.1083,0.4850,0.7767,0.6943,0.7452,0.6429,0.5721,0.5127,5,5,5,5,5,-0.06765,0.03398,-0.1692,-0.2905,-0.403, 0.1, 0.1, 0.1, 0.1, 0.1,1,0,0,1.782
lh_2022,2,297205,NA,0.3102,0.7798,0.14542,46876,13289, 60165,20230,31312,40328,50856,0.4030,0.1143,0.5173,0.7792,0.6986,0.7484,0.6577,0.5987,0.5419,5,5,5,5,5,-0.06765,0.03398,-0.1692,-0.2905,-0.403, 0.1, 0.1, 0.1, 0.1, 0.1,1,0,0,1.782
lh_2022,3,278740,NA,0.3102,0.7798,0.13799,61067,20753, 81820,20755,38068,48238,60529,0.4074,0.1385,0.5459,0.7464,0.7464,0.7977,0.6825,0.6291,0.5748,5,5,5,5,5,-0.06765,0.03398,-0.1692,-0.2905,-0.403, 0.1, 0.1, 0.1, 0.1, 0.1,1,0,0,1.782
lh_2022,4,417540,NA,0.3102,0.7798,0.06720,65642,18456, 84098,26454,42799,56319,69694,0.4060,0.1141,0.5201,0.7806,0.7128,0.7607,0.6627,0.5989,0.5468,5,5,5,5,5,-0.06765,0.03398,-0.1692,-0.2905,-0.403, 0.1, 0.1, 0.1, 0.1, 0.1,1,0,0,1.782
lh_2022,5,405481,NA,0.3102,0.7798,0.31230,43922,14915, 58837,15703,26412,32870,42039,0.4141,0.1406,0.5547,0.7465,0.7367,0.7894,0.6902,0.6416,0.5833,5,5,5,5,5,-0.06765,0.03398,-0.1692,-0.2905,-0.403, 0.1, 0.1, 0.1, 0.1, 0.1,1,0,0,1.782
21,1,254092, 1,0.3298,0.7976,0.38299,39334,13522, 52856,14070,23773,29655,38082,0.4108,0.1412,0.5520,0.7442,0.7366,0.7898,0.6898,0.6406,0.5812,5,5,5,5,5,-0.06764,0.03398,-0.1692,-0.2905,-0.403, 0.1, 0.1, 0.1,-0.1,-0.1,1,0,1,1.873
21,2,371619, 1,0.3298,0.7976,0.13783,62335,17183, 79518,25469,39807,51182,64008,0.4152,0.1145,0.5296,0.7839,0.7100,0.7574,0.6664,0.6084,0.5540,5,5,5,5,5,-0.06764,0.03398,-0.1692,-0.2905,-0.403, 0.1, 0.1, 0.1,-0.1,-0.1,1,0,1,1.873
21,3,475930, 1,0.3298,0.7976,0.18707,66627,18904, 85531,29581,48089,63801,81309,0.3775,0.1071,0.4846,0.7790,0.6925,0.7430,0.6401,0.5728,0.5127,5,5,5,5,5,-0.06764,0.03398,-0.1692,-0.2905,-0.403, 0.1, 0.1, 0.1,-0.1,-0.1,1,0,1,1.873
21,4,325057, 1,0.3298,0.7976,0.06264,47520,14076, 61596,19880,31802,43202,53624,0.3916,0.1160,0.5076,0.7715,0.7051,0.7560,0.6595,0.5878,0.5346,5,5,5,5,5,-0.06764,0.03398,-0.1692,-0.2905,-0.403, 0.1, 0.1, 0.1,-0.1,-0.1,1,0,1,1.873
21,5,469040, 1,0.3298,0.7976,0.08147,71263,23729, 94991,24777,44869,56916,71226,0.4075,0.1357,0.5431,0.7502,0.7420,0.7931,0.6792,0.6253,0.5715,5,5,5,5,5,-0.06764,0.03398,-0.1692,-0.2905,-0.403, 0.1, 0.1, 0.1,-0.1,-0.1,1,0,1,1.873
24,1,423252, 1,0.3217,0.8036,0.18748,65067,21421, 86488,24712,42243,52269,65542,0.4071,0.1340,0.5411,0.7523,0.7247,0.7778,0.6719,0.6233,0.5689,5,5,5,5,5,-0.06765,0.03398,-0.1692,-0.2905,-0.403,-0.1,-0.1,-0.1, 0.1,-0.1,1,0,1,1.698
24,2,501123, 1,0.3217,0.8036,0.25996,70154,19904, 90058,31146,50635,67178,85613,0.3775,0.1071,0.4846,0.7790,0.6925,0.7430,0.6401,0.5728,0.5127,5,5,5,5,5,-0.06765,0.03398,-0.1692,-0.2905,-0.403,-0.1,-0.1,-0.1, 0.1,-0.1,1,0,1,1.698
